Name Of Project,Address,Primary Funding Source/ Assistance Type Description,Primary Expiration Date,Total Units,Restricted/ Assisted Units,Target Group (Senior),Type of Conversion Risk
Casa Wabash,3168 E. Wabash Ave.,HUD Project-Based Section 8 Rental Assistance (PBRA),39415,14,14,No,Rental Subsidy Termination
Leo Hotel (Part Ii),531 S. San Julian,Housing Authority of the City of Los Angeles (HACLA) - Shelter Plus Care Program (SPC),39752,35,35,No,Rental Subsidy Termination
Crossroads Village,1925 W. Washington Blvd.,Housing Authority of the City of Los Angeles (HACLA) - Shelter Plus Care Program (SPC),40451,22,20,No,Rental Subsidy Termination
Oscar House,18509 San Fernando Mission Blvd,HUD Section 202/811 – Project Rental Assistance Contract (PRAC),40968,6,6,Yes,Rental Subsidy Termination
Canoga Park Apts,6824 N. Winnetka Ave.,HUD Project-Based Section 8 Rental Assistance (PBRA),40989,14,14,Yes,Rental Subsidy Termination
Women’s Village Project,1660 Rockwood St,HUD Section 202/811 – Project Rental Assistance Contract (PRAC),41029,13,12,Yes,Rental Subsidy Termination
Silverlake Coop,2524 Berkeley Ave,Housing Authority of the City of Los Angeles (HACLA) - Moderate Rehabilitation Program (MRP),41090,11,11,No,Rental Subsidy Termination
Granada Gardens,16700 W. Chatsworth St.,HUD Project-Based Section 8 Rental Assistance (PBRA),41152,169,169,No,Rental Subsidy Termination
"Chin, Wallace (1630 Pleasant Ave Apts)",1630 E. Pleasant Ave.,Housing Authority of the City of Los Angeles (HACLA) - Moderate Rehabilitation Program (MRP),41152,9,4,No,Rental Subsidy Termination
"Chin, Wallace (506 Progress Pl)",506 Progress Pl,Housing Authority of the City of Los Angeles (HACLA) - Moderate Rehabilitation Program (MRP),41152,8,8,No,Rental Subsidy Termination
Ranch House Group Home,13655 Wodcock Av,HUD Section 202/811 – Project Rental Assistance Contract (PRAC),41182,6,6,Yes,Rental Subsidy Termination
Astoria House,14185 Astoria Street,HUD Section 202/811 – Project Rental Assistance Contract (PRAC),41182,6,6,Yes,Rental Subsidy Termination
4 Streets Cooperative Of Route 2 (Part Iv),643 N Berendo St,Housing Authority of the City of Los Angeles (HACLA) - Moderate Rehabilitation Program (MRP),40402,1,1,No,Rental Subsidy Termination
Greenfield Manor,3753 Greenfield Avenue,HUD Section 202/811 – Project Rental Assistance Contract (PRAC),41213,5,5,Yes,Rental Subsidy Termination
"Chin, Wallace(1311 E. Cesar Chavez Ave)",1311 E. Cesar Chavez Ave,Housing Authority of the City of Los Angeles (HACLA) - Moderate Rehabilitation Program (MRP),40586,10,8,No,Rental Subsidy Termination
Willowbrook Villa Apts,4341 W. Willow Brook Ave.,HUD Project-Based Section 8 Rental Assistance (PBRA),41243,85,85,Yes,Rental Subsidy Termination
Subsidized Housing Corporation 4,232 S. Avenue 56,HUD Project-Based Section 8 Rental Assistance (PBRA),41041,1,1,No,Rental Subsidy Termination
Beth-Am Manor,1071 S. La Cienega Blvd.,HUD Project-Based Section 8 Rental Assistance (PBRA),41272,97,49,Yes,Rental Subsidy Termination
Sunland Park Apts,10836 Roycroft St.,HUD Project-Based Section 8 Rental Assistance (PBRA),41274,120,120,No,Rental Subsidy Termination
